inside,outside,western,chinese,japanese,korean,dessert,etc
"타이거노래연습장 https://map.naver.com/v5/entry/place/1440034021?c=14113341.0442042,4183843.6469105,10,0,0,0,dh","담양패러글라이딩 https://map.naver.com/v5/entry/place/1593705803?c=14138038.0524731,4193666.6012083,13,0,0,0,dh","르시엘블루 https://map.naver.com/v5/entry/place/16088404?c=14105160.0635063,4183386.6866888,10,0,0,0,dh","남쪽마을돌짜장 https://map.naver.com/v5/entry/place/1410007723?c=14099314.8217601,4193103.4059121,10,0,0,0,dh ","하지메 https://map.naver.com/v5/entry/place/31406065?c=14106939.7170736,4184559.1162609,10,0,0,0,dhhttps://map.naver.com/v5/entry/place/31406065?c=14106939.7170736,4184559.1162609,10,0,0,0,dh","미미원 https://map.naver.com/v5/entry/place/13590946?c=14099585.2947268,4183889.9075938,9,0,0,0,dh","태양의정원 https://map.naver.com/v5/entry/place/19796818?c=14108775.4756644,4188144.9603085,10,0,0,0,dh","사이공장 https://map.naver.com/v5/entry/place/1694139328?c=14114205.4289182,4184092.2016502,10,0,0,0,dh"
"클럽300볼링센터 https://map.naver.com/v5/entry/place/20467976?c=14101628.1520982,4188294.0114958,10,0,0,0,dh","우치공원동물원 https://map.naver.com/v5/entry/place/21311180?c=14110266.8562784,4194191.4384343,10,0,0,0,dh","코벤트마켓 https://map.naver.com/v5/entry/place/40951250?c=14104735.5021003,4183600.1892933,10,0,0,0,dh","만조성 https://map.naver.com/v5/entry/place/16051508?c=14105244.8778263,4183701.3672497,10,0,0,0,dh","사카나 https://map.naver.com/v5/entry/place/19877394?c=14114764.8650192,4181840.3144066,10,0,0,0,dh","한남동나른한오후 https://map.naver.com/v5/entry/place/1264390223?c=14099662.8732800,4184594.0522582,9,0,0,0,dh","떼시스 https://map.naver.com/v5/entry/place/36384070?c=14104920.7154691,4183604.0011479,10,0,0,0,dh","아오리따 https://map.naver.com/v5/entry/place/1222103844?c=14114252.7508338,4184137.2516875,10,0,0,0,dh"
"SM당구클럽 https://map.naver.com/v5/entry/place/37879377?c=14106015.9100154,4184727.7930667,10,0,0,0,dh",,"어센틱비스트로 https://map.naver.com/v5/entry/place/1763344267?c=14112299.1828259,4181109.4226885,10,0,0,0,dh ","취영각 https://map.naver.com/v5/entry/place/20031611?c=14105394.3242427,4193129.7848257,10,0,0,0,dh","유소바 https://map.naver.com/v5/entry/place/1301911015?c=14113656.5347730,4182755.7188486,10,0,0,0,dh","캐쥬얼식당 https://map.naver.com/v5/entry/place/1991263888?c=14099662.8732800,4184594.0522582,9,0,0,0,dh","아람 https://map.naver.com/v5/entry/place/850329033?c=14114877.7318509,4185983.6439762,10,0,0,0,dh","하이웨이타코 https://map.naver.com/v5/entry/place/77693814?c=14113522.8289326,4183670.1370338,10,0,0,0,dh"
"두레건강랜드찜질방 https://map.naver.com/v5/search/%EA%B4%91%EC%A3%BC%20%EC%B0%9C%EC%A7%88%EB%B0%A9/place/37638030?c=14096037.1195412,4189498.8611259,10,0,0,0,dh&placePath=%3Fentry%253Dpll",,"한식경 https://map.naver.com/v5/entry/place/1080814771?c=14114108.2247389,4184498.2031760,10,0,0,0,dh","모노바스 https://map.naver.com/v5/entry/place/13496661?c=14113541.1298569,4180621.5168834,10,0,0,0,dh","칸세이스시 https://map.naver.com/v5/entry/place/1219567623?c=14113155.7640437,4182734.1290852,10,0,0,0,dh","금수저은수저 https://map.naver.com/v5/entry/place/13558909?c=14090208.8428854,4190853.0638064,9,0,0,0,dh ","코코블루 https://map.naver.com/v5/entry/place/38218347?c=14085429.4629996,4183112.8953247,10,0,0,0,dh","알랭 https://map.naver.com/v5/entry/place/36286045?c=14114387.2581745,4184386.0989237,10,0,0,0,dh"
"클럽300롤러장 https://map.naver.com/v5/entry/place/1664746015?c=14106086.0524266,4184871.9375947,10,0,0,0,dh ",,"레이레스토랑 https://map.naver.com/v5/entry/place/1066094403?c=14108877.4109221,4184857.4781270,10,0,0,0,dh","연경 https://map.naver.com/v5/entry/place/31077461?c=14101391.9321388,4189753.7132971,10,0,0,0,dh","스시도감 https://map.naver.com/v5/entry/place/35366906?c=14105712.4753474,4185202.3592759,10,0,0,0,dh","거목한정식 https://map.naver.com/v5/entry/place/11693336?c=14097923.9960421,4183693.2942168,9,0,0,0,dh","카페린느 https://map.naver.com/v5/entry/place/1971920154?c=14114397.7667344,4187269.3523426,10,0,0,0,dh","수쿰빗19 https://map.naver.com/v5/entry/place/1221713763?c=14112936.7652095,4181189.6036400,10,0,0,0,dh"
"디지페스타전시회 https://map.naver.com/v5/entry/place/13323294?c=14110211.1965330,4188698.2875341,10,0,0,0,dh",,"핀치이태리 https://map.naver.com/v5/entry/place/36302228?c=14103198.4693632,4191329.7999153,10,0,0,0,dh","영하반점 https://map.naver.com/v5/entry/place/1143749117?c=14102019.9076502,4190277.9153974,10,0,0,0,dh","돈부리바쇼유메노덴 https://map.naver.com/v5/entry/place/1509347197?c=14114337.9992998,4184345.8266262,10,0,0,0,dh","매운날매운갈비찜 https://map.naver.com/v5/entry/place/20348689?c=14090552.2635145,4193089.9848464,9,0,0,0,dh","베비에르과자점 https://map.naver.com/v5/entry/place/19866734?c=14109135.2045989,4180885.6785718,10,0,0,0,dh ","오아워 https://map.naver.com/v5/entry/place/1136140991?c=14113288.3232933,4182990.5544830,10,0,0,0,dh"
"광주시립미술관 https://map.naver.com/v5/entry/place/11537321?c=14095048.3019003,4188820.3781774,9,0,0,0,dh",,"그라제1985 https://map.naver.com/v5/entry/place/38654589?c=14113364.6995960,4182869.4946014,10,0,0,0,dh","영발원 https://map.naver.com/v5/entry/place/11861466?c=14111577.0421572,4185651.5650333,10,0,0,0,dh","마루요시 https://map.naver.com/v5/entry/place/1950797801?c=14106331.5230357,4184309.3393431,10,0,0,0,dh","서울곱창 https://map.naver.com/v5/entry/place/11710142?c=14085110.3656793,4182757.2434740,9,0,0,0,dh","디저트카페퐁당 https://map.naver.com/v5/entry/place/175392081?c=14114406.7390854,4183759.2944961,10,0,0,0,dh","에머이 https://map.naver.com/v5/entry/place/552224212?c=14113193.6571984,4184218.9793761,10,0,0,0,dh"
"아쿠아플레넷 https://map.naver.com/v5/entry/place/21529770?c=14219076.7382073,4129449.7889652,13,0,0,0,dh",,"테스팅노트 https://map.naver.com/v5/entry/place/1853198531?c=14109969.1768280,4183677.9241587,10,0,0,0,dh","만리장성 https://map.naver.com/v5/entry/place/20393414?c=14109471.0443706,4187767.5064135,10,0,0,0,dh","스시상 https://map.naver.com/v5/entry/place/1581988391?c=14113929.3343172,4183660.3895215,10,0,0,0,dh","남해가든 https://map.naver.com/v5/entry/place/13570596?c=14097710.7078977,4180907.3872289,9,0,0,0,dh","롱마카롱 https://map.naver.com/v5/entry/place/972983645?c=14100533.4918855,4188035.5974554,10,0,0,0,dh","카오 https://map.naver.com/v5/entry/place/1656600781?c=14103771.0856919,4189679.3274578,10,0,0,0,dh"
,,"코발트 https://map.naver.com/v5/entry/place/38520841?c=14114367.5434927,4184267.4199599,10,0,0,0,dh","초심 https://map.naver.com/v5/entry/place/31115777?c=14096991.7509664,4184077.8521150,10,0,0,0,dh","오보에루 https://map.naver.com/v5/entry/place/1014982688?c=14114402.9319588,4184320.2855154,10,0,0,0,dh","한옥식당 https://map.naver.com/v5/entry/place/13570697?c=14098321.6626591,4182963.8049407,9,0,0,0,dh","홀라로사 https://map.naver.com/v5/entry/place/37486006?c=14105248.0170360,4194047.3223774,10,0,0,0,dh","잇포 https://map.naver.com/v5/entry/place/1229846111?c=14104789.7814841,4183620.8686202,10,0,0,0,dh"
,,"허슬피자 https://map.naver.com/v5/entry/place/1916763227?c=14113169.3116257,4182643.0332709,10,0,0,0,dh","보보식당 https://map.naver.com/v5/entry/place/1561510041?c=14114203.6144105,4184777.8288550,10,0,0,0,dh","초이찌 https://map.naver.com/v5/entry/place/38412283?c=14108245.6171521,4192690.1126879,10,0,0,0,dh","예향정 https://map.naver.com/v5/entry/place/38735624?c=14098111.1575020,4187656.7037011,9,0,0,0,dh","양인제과 https://map.naver.com/v5/entry/place/719671924?c=14113068.5786185,4182737.9406419,10,0,0,0,dh","레호이 https://map.naver.com/v5/entry/place/1558813929?c=14105611.4195137,4193040.3202324,10,0,0,0,dh"
